SPECIES,Genus,sp,species_name
DACTYLIZ,,,Dactylis sp.
DANT DEC,,,Danthonia decumbens
DAPH LAU,,,Daphne laureola
DAPH MEZ,,,Daphne mezereum
DENENNE,,,Dentaria enneaphyllos
DENGLAN,,,Cardamine glandulifera
DENT BUL,,,Dentaria bulbifera
DESC CES,,,Deschampsia cespitosa
DESC FLE,,,Deschampsia flexuosa
DIANTALP,,,Dianthus alpinus
DIGI GRA,,,Digitalis grandiflora
DIGI LUT,,,Digitalis lutea
DIGI MIC,,,
DIGI PUR,,,Digitalis purpurea
DORO AUS,,,Doronicum austriacum
DRCAR*AS,,,Dryopteris sarvelae
DROS ANG,,,Drosera anglica
DROS ROT,,,Drosera rotundifolia
DRYO AFF,,,Dryopteris affinis
DRYO ASS,,,Dryopteris assimilis
DRYO BOR,,,Dryopteris borreri
DRYO CAR,,,Dryopteris carthusiana
DRYO DIL,,,Dryopteris dilatata
DRYO EXP,,,Dryopteris expansa
DRYO FIL,,,Dryopteris filix-mas
DRYO PSE,,,Dryopteris pseudomas
ELYM CAI,,,Elymus caninus
EMPE HER,,,Empetrum hermaphroditum
EMPE NIG,,,Empetrum nigrum
EPIL ANG,,,Epilobium angustifolium
EPIL MON,,,Epilobium montanum
EPIL PAR,,,Epilobium parviflorum
EPILOBIZ,,,Epilobium sp.
EPIP ATR,,,Epipactis atrorubens
EPIP HEL,,,Epipactis helleborine
EPIP MIC,,,
EPIP MUE,Epipactis,muelleri,Epipactis muelleri
EPIPACTZ,,,EPIPACTIS SP.
EQUI ARV,,,Equisetum arvense
EQUI PAL,,,Equisetum palustre
EQUI SYL,,,Equisetum sylvaticum
ERIC ARB,Erica,arborea,Erica arborea
ERIC CIN,,,Erica cinerea
ERIC VAG,,,Erica vagans
ERIHERB,,,Erica herbacea
ERIO ANG,,,Eriophorum angustifolium
ERIO VAG,,,Eriophorum vaginatum
EUON EUR,,,Euonymus europaeus
EUONYVER,,,Euonymus verrucosus
EUPA CAN,,,Eupatorium cannabinum
EUPH AMY,Euphorbia,amygdaloides,Euphorbia amygdaloides
EUPH COR,Euphorbia,corallioides,Euphorbia corallioides
EUPH CYP,,,Euphorbia cyparissias
EUPH DUL,,,Euphorbia dulcis
EUPH ROS,,,Euphrasia rostkoviana
EUPH SAL,,,Euphrasia salisburgensis
FAGU SYL,,,Fagus sylvatica
FE RU.RU,,,Festuca rubra ssp. rubra
FESAMAM,,,Festuca amethystina
FEST ALT,,,Festuca altissima
FEST DRY,Festuca,drymeja,Festuca drymeja
FEST GIG,,,Festuca gigantea
FEST HET,,,Festuca heterophylla
FEST PRA,,,Festuca pratensis
FEST RUB,,,Festuca rubra
FESTGUEST,,,Festuca guestphalica
FESTRUPI,,,Festuca rupicola
FESTUCAZ,,,FESTUCA SP.
FILI ULM,,,Filipendula ulmaria
FISS DUB,,,Fissidens dubius
FRAG MOS,,,Fragaria moschata
FRAG VES,,,Fragaria vesca
FRAG VRD,,,Fragaria viridis
FRAN ALN,,,Frangula alnus
FRAX EXC,,,Fraxinus excelsior
FRAX ORN,Fraxinus,ornus,Fraxinus ornus
GALE LUT,,,Galeobdolon luteum
GALE SPE,,,Galeopsis speciosa
GALE TET,,,Galeopsis tetrahit
GALEOPSZ,,,GALEOPSIS SP.
GALEPUBE,,,Galeopsis pubescens
GALI ALB,,,Galium album
GALI APA,,,Galium aparine
GALI MOL,,,Galium mollugo
GALI ODO,,,Galium odoratum
GALI PAL,,,Galium palustre
GALI ROT,,,Galium rotundifolium
GALI SAX,,,Galium saxatile
GALI SYL,,,Galium sylvaticum
GALI VER,,,Galium verum
GALIUM Z,,,GALIUM SP.
GALLUCI,,,Galium lucidum
GALTRUN,,,Galium truniacum
GENASCL,,,Gentiana asclepiadea
GENCLUS,,,Gentiana clusii
GENI GER,,,Genista germanica
