SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
CAMP TRA,B4,,,,,Campanula trachelium,
CARALBA,BX_AT,,,,,CAREX ALBA,
CARBIBI,BX_AT,,,,,Carlina biebersteinii ssp. biebersteinii,
CARBRAC,BX_AT,,,,,Carex brachystachys,
CARD ACA,B4,,,,,Carduus acanthoides,
CARD AMA,B4,,,,,Cardamine amara,
CARD BUL,B4,,,,,Cardamine bulbifera,
CARD CHE,BX_IT,Cruciferae,Cardamine,chelidonia,L.,Cardamine chelidonia,
CARD CRI,B4,,,,,Carduus crispus,
CARD FLE,B4,,,,,Cardamine flexuosa,
CARD HEP,BX_IT,Cruciferae,Cardamine,heptaphylla,(Vill.) O.E. Schulz,Cardamine heptaphylla,
CARD PRA,B4,,,,,Cardamine pratensis,
CARDEDE,BX_AT,,,,,Carduus defloratus ssp. defloratus,
CARE PIL,B4,,,,,Carex pilosa,nicht in B4
CAREX  Z,B4,,,,,CAREX SP.,
CARFERR,BX_AT,,,,,Carex ferruginea,
CARFIRM,BX_AT,,,,,Carex firma,
CARFLAE,BX_AT,,,,,Carex flavella,
CARHUMI,BX_AT,,,,,Carex humilis,
CARL ACA,B4,,,,,Carlina acaulis,
CARP BET,B4,,,,,Carpinus betulus,
CARTRIF,BX_AT,,,,,CARDAMINE TRIFOLIA,
CARUMBR,BX_AT,,,,,Carex umbrosa,
CAST SAT,B4,,,,,Castanea sativa,
CE ER;ER,B4,,,,,Centaurium erythraea var. erythraea,
CENT MON,B4,,,,,Centaurea montana,
CEPH LON,B4,,,,,Cephalanthera longifolia,
CEPH RUB,B4,,,,,Cephalanthera rubra,
CEPHLERZ,B4,,,,,CEPHALANTHERA SP.,
CERA HOL,B4,,,,,Cerastium holosteoides,
CHAE AUR,B4,,,,,Chaerophyllum aureum,
CHAE HIR,B4,,,,,Chaerophyllum hirsutum,
CHAM ANG,B4,,,,,Chamaenerion angustifolium,
